,Item A,Item A Desc,Item B,Item B Desc,Count
0,22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,721
1,22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,618
2,22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED ,579
3,22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,579
4,20725,LUNCH BAG RED SPOTTY,20727,LUNCH BAG  BLACK SKULL.,571
5,20725,LUNCH BAG RED SPOTTY,22384,LUNCH BAG PINK POLKADOT,562
6,20725,LUNCH BAG RED SPOTTY,22383,LUNCH BAG SUKI DESIGN ,557
7,20727,LUNCH BAG  BLACK SKULL.,22383,LUNCH BAG SUKI DESIGN ,523
8,22698,PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER ,515
9,20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,511
